DATE, EX_NUM, BOOL_PREPROC, NOISE, method_name, error_norm 
05-Oct-2017 14:36:00,4,0,1e-10,Batch Constrained With STLN,4.3097e-10 
05-Oct-2017 14:36:13,5,0,1e-10,Separate,1.2993e-08 
05-Oct-2017 14:36:13,5,0,1e-10,Batch,1.2993e-08 
05-Oct-2017 14:36:13,5,0,1e-10,Batch With STLN,1.1899e-08 
05-Oct-2017 14:36:13,5,0,1e-10,Batch Constrained,2.1568e-09 
05-Oct-2017 14:36:13,5,0,1e-10,Batch Constrained With STLN,4.3617e-09 
05-Oct-2017 14:36:21,6,0,1e-10,Separate,1.2993e-08 
05-Oct-2017 14:36:21,6,0,1e-10,Batch,1.2993e-08 
05-Oct-2017 14:36:21,6,0,1e-10,Batch With STLN,1.1899e-08 
05-Oct-2017 14:36:21,6,0,1e-10,Batch Constrained,2.1568e-09 
05-Oct-2017 14:36:21,6,0,1e-10,Batch Constrained With STLN,4.3617e-09 
05-Oct-2017 14:36:39,8,0,1e-10,Separate,4.2862e-09 
05-Oct-2017 14:36:39,8,0,1e-10,Batch,4.2862e-09 
05-Oct-2017 14:36:39,8,0,1e-10,Batch With STLN,3.6498e-09 
05-Oct-2017 14:36:39,8,0,1e-10,Batch Constrained,4.3251e-09 
05-Oct-2017 14:36:39,8,0,1e-10,Batch Constrained With STLN,3.1644e-09 
05-Oct-2017 14:36:53,9,0,1e-10,Separate,2.2658e-08 
05-Oct-2017 14:36:53,9,0,1e-10,Batch,2.2658e-08 
05-Oct-2017 14:36:53,9,0,1e-10,Batch With STLN,2.0163e-08 
05-Oct-2017 14:36:53,9,0,1e-10,Batch Constrained,5.7342e-09 
05-Oct-2017 14:36:53,9,0,1e-10,Batch Constrained With STLN,9.4538e-09 
05-Oct-2017 14:37:06,9,1,1e-10,Separate,2.2658e-08 
05-Oct-2017 14:37:06,9,1,1e-10,Batch,7.6191e-10 
05-Oct-2017 14:37:06,9,1,1e-10,Batch With STLN,9.4552e-10 
05-Oct-2017 14:37:06,9,1,1e-10,Batch Constrained,3.6663e-10 
05-Oct-2017 14:37:06,9,1,1e-10,Batch Constrained With STLN,3.4704e-09 
05-Oct-2017 14:37:28,10,1,1e-10,Separate,1.998e-07 
05-Oct-2017 14:37:28,10,1,1e-10,Batch,1.4196e-09 
05-Oct-2017 14:37:28,10,1,1e-10,Batch With STLN,1.6439e-09 
05-Oct-2017 14:37:28,10,1,1e-10,Batch Constrained,3.0466e-10 
05-Oct-2017 14:37:28,10,1,1e-10,Batch Constrained With STLN,6.6257e-10 
05-Oct-2017 14:37:41,11,1,1e-10,Separate,1.3854e-07 
05-Oct-2017 14:37:41,11,1,1e-10,Batch,1.8256e-09 
05-Oct-2017 14:37:41,11,1,1e-10,Batch With STLN,2.2821e-09 
05-Oct-2017 14:37:41,11,1,1e-10,Batch Constrained,7.8439e-10 
05-Oct-2017 14:37:41,11,1,1e-10,Batch Constrained With STLN,1.1161e-09 
05-Oct-2017 14:38:30,12,1,1e-10,Separate,1.4113e-06 
05-Oct-2017 14:38:30,12,1,1e-10,Batch,1.5711e-09 
05-Oct-2017 14:38:30,12,1,1e-10,Batch With STLN,1.4574e-09 
05-Oct-2017 14:38:30,12,1,1e-10,Batch Constrained,1.8245e-09 
05-Oct-2017 14:38:30,12,1,1e-10,Batch Constrained With STLN,6.4325e-10 
28-Oct-2017 19:55:26,9,0,1e-06,Separate,0.00015229 
28-Oct-2017 19:55:26,9,0,1e-06,Batch,0.00015229 
28-Oct-2017 19:55:26,9,0,1e-06,Batch With STLN,8.765e-05 
28-Oct-2017 19:55:26,9,0,1e-06,Batch Constrained,0.00012315 
28-Oct-2017 19:55:26,9,0,1e-06,Batch Constrained With STLN,3.1246e-05 
28-Oct-2017 19:55:30,9,1,1e-06,Separate,0.00015229 
28-Oct-2017 19:55:30,9,1,1e-06,Batch,7.6179e-06 
28-Oct-2017 19:55:30,9,1,1e-06,Batch With STLN,9.4551e-06 
28-Oct-2017 19:55:30,9,1,1e-06,Batch Constrained,3.6632e-06 
28-Oct-2017 19:55:30,9,1,1e-06,Batch Constrained With STLN,3.4703e-05 
28-Oct-2017 19:57:13,10,0,1e-06,Separate,0.00080862 
28-Oct-2017 19:57:13,10,0,1e-06,Batch,0.00080862 
28-Oct-2017 19:57:13,10,0,1e-06,Batch With STLN,0.00072154 
28-Oct-2017 19:57:13,10,0,1e-06,Batch Constrained,0.00041511 
28-Oct-2017 19:57:13,10,0,1e-06,Batch Constrained With STLN,6.2785e-05 
28-Oct-2017 19:57:19,10,1,1e-06,Separate,0.00080862 
28-Oct-2017 19:57:19,10,1,1e-06,Batch,1.4195e-05 
28-Oct-2017 19:57:19,10,1,1e-06,Batch With STLN,1.6438e-05 
28-Oct-2017 19:57:19,10,1,1e-06,Batch Constrained,3.0383e-06 
28-Oct-2017 19:57:19,10,1,1e-06,Batch Constrained With STLN,6.6219e-06 
28-Oct-2017 19:58:20,11,0,1e-06,Separate,0.0008957 
28-Oct-2017 19:58:20,11,0,1e-06,Batch,0.0008957 
28-Oct-2017 19:58:20,11,0,1e-06,Batch With STLN,0.0011568 
28-Oct-2017 19:58:20,11,0,1e-06,Batch Constrained,1.8279e-05 
28-Oct-2017 19:58:20,11,0,1e-06,Batch Constrained With STLN,2.1677e-05 
28-Oct-2017 19:58:28,11,1,1e-06,Separate,0.0008957 
28-Oct-2017 19:58:28,11,1,1e-06,Batch,1.8255e-05 
28-Oct-2017 19:58:28,11,1,1e-06,Batch With STLN,2.2822e-05 
28-Oct-2017 19:58:28,11,1,1e-06,Batch Constrained,7.8436e-06 
28-Oct-2017 19:58:28,11,1,1e-06,Batch Constrained With STLN,1.1161e-05 
28-Oct-2017 19:59:03,12,0,1e-06,Separate,0.00058406 
28-Oct-2017 19:59:03,12,0,1e-06,Batch,0.00058406 
28-Oct-2017 19:59:03,12,0,1e-06,Batch With STLN,0.00057509 
28-Oct-2017 19:59:03,12,0,1e-06,Batch Constrained,0.00014812 
28-Oct-2017 19:59:03,12,0,1e-06,Batch Constrained With STLN,9.6561e-05 
28-Oct-2017 19:59:09,12,1,1e-06,Separate,0.00058406 
28-Oct-2017 19:59:09,12,1,1e-06,Batch,1.5694e-05 
28-Oct-2017 19:59:09,12,1,1e-06,Batch With STLN,1.4556e-05 
28-Oct-2017 19:59:09,12,1,1e-06,Batch Constrained,1.8235e-05 
28-Oct-2017 19:59:09,12,1,1e-06,Batch Constrained With STLN,6.4032e-06 
28-Oct-2017 19:59:44,12,0,0.0001,Separate,0.058163 
28-Oct-2017 19:59:44,12,0,0.0001,Batch,0.058163 
28-Oct-2017 19:59:44,12,0,0.0001,Batch With STLN,0.05728 
28-Oct-2017 19:59:44,12,0,0.0001,Batch Constrained,0.014844 
28-Oct-2017 19:59:44,12,0,0.0001,Batch Constrained With STLN,0.0096707 
28-Oct-2017 19:59:50,12,1,0.0001,Separate,0.058163 
28-Oct-2017 19:59:50,12,1,0.0001,Batch,0.0015694 
28-Oct-2017 19:59:50,12,1,0.0001,Batch With STLN,0.0014556 
28-Oct-2017 19:59:50,12,1,0.0001,Batch Constrained,0.0018233 
28-Oct-2017 19:59:50,12,1,0.0001,Batch Constrained With STLN,0.00064029 
28-Oct-2017 20:00:58,13,0,0.0001,Separate,0.044303 
28-Oct-2017 20:00:58,13,0,0.0001,Batch,0.044303 
28-Oct-2017 20:00:58,13,0,0.0001,Batch With STLN,0.040964 
28-Oct-2017 20:00:58,13,0,0.0001,Batch Constrained,0.031225 
28-Oct-2017 20:00:58,13,0,0.0001,Batch Constrained With STLN,0.029622 
28-Oct-2017 20:01:21,13,1,0.0001,Separate,0.044303 
