DATE, EX_NUM, MEAN_METHOD, BOOL_ALPHA_THETA, EMIN, EMAX, LOW_RANK_APPROX_METHOD, LOW_RANK_ITE, APF_METHOD, APF_ITE, BOOL_LOG, SYLVESTER_MATRIX_VARIANT, GCD_METHODM, METHOD_NAME, DECONVOLUTION_METHOD HX, DECONVOLUTION_METHOD WX, DECONVOLUTION_PREPROC, FORWARD_ERROR, BACKWARD_ERROR, ERROR_FX, ERROR_HX, ERROR_WX 
20-Jan-2018 12:14:19,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,7.528489e-06,1.415202e-05,4.056087e-06,1.285291e-05,3.322211e-06
20-Jan-2018 12:14:25,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,7.341223e-06,1.403971e-05,4.056087e-06,1.285291e-05,3.276678e-06
20-Jan-2018 12:14:31,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,7.528489e-06,1.415202e-05,4.056087e-06,1.285291e-05,3.322211e-06
20-Jan-2018 12:14:37,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,8.396032e-06,1.428623e-05,4.056087e-06,8.781100e-06,3.582654e-06
20-Jan-2018 12:14:43,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,7.528489e-06,1.415202e-05,4.056087e-06,1.285291e-05,3.322211e-06
20-Jan-2018 12:14:49,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,8.281183e-06,1.410754e-05,4.056087e-06,8.781100e-06,3.523249e-06
20-Jan-2018 12:14:55,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,2.186773e-06,8.537241e-06,4.056087e-06,9.525822e-06,1.900643e-06
20-Jan-2018 12:15:01,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,1,5.840850e-07,5.417371e-06,4.056087e-06,2.208281e-06,1.179931e-06
20-Jan-2018 12:15:07,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,0,2.186773e-06,8.537241e-06,4.056087e-06,9.525822e-06,1.900643e-06
20-Jan-2018 12:15:14,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,6.463729e-07,5.537095e-06,4.056087e-06,2.208281e-06,1.201159e-06
20-Jan-2018 12:16:06,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:16:12,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,1,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:16:18,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:16:24,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,2.484877e-05,1.205098e-04,7.042363e-05,3.919380e-04,3.421420e-05
20-Jan-2018 12:16:30,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:16:37,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,4.141066e-05,1.471144e-04,7.042363e-05,4.530653e-04,4.039444e-05
20-Jan-2018 12:16:43,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:16:49,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,3.542644e-05,1.401232e-04,7.042363e-05,4.530653e-04,3.784782e-05
20-Jan-2018 12:16:55,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,4.690812e-05,1.256683e-04,7.042363e-05,3.757998e-04,2.925910e-05
20-Jan-2018 12:17:01,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,1,9.714293e-05,1.733081e-04,7.042363e-05,4.656066e-04,4.266621e-05
20-Jan-2018 12:17:08,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,0,4.690812e-05,1.256683e-04,7.042363e-05,3.757998e-04,2.925910e-05
20-Jan-2018 12:17:14,9,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,1.040965e-04,1.826925e-04,7.042363e-05,4.656066e-04,4.215853e-05
20-Jan-2018 12:18:04,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,0,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:18:08,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,1,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:18:12,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:18:16,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,1.670279e-04,5.546900e-04,9.497538e-05,2.637600e-04,1.391880e-04
20-Jan-2018 12:18:19,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:18:23,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,9.120941e-05,3.823466e-04,9.497538e-05,4.208457e-04,9.411973e-05
20-Jan-2018 12:18:27,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,1.548681e-04,5.438123e-04,9.497538e-05,2.637600e-04,1.382738e-04
20-Jan-2018 12:18:31,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,1.036176e-04,3.835523e-04,9.497538e-05,4.208457e-04,9.156273e-05
20-Jan-2018 12:18:35,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,3.777840e-05,3.945943e-04,9.497538e-05,2.227044e-04,1.086005e-04
20-Jan-2018 12:18:39,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,1,5.781935e-05,2.988599e-04,9.497538e-05,3.711231e-04,8.199463e-05
20-Jan-2018 12:18:42,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,0,3.777840e-05,3.945943e-04,9.497538e-05,2.227044e-04,1.086005e-04
20-Jan-2018 12:18:46,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,None,0,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,6.602749e-05,3.020964e-04,9.497538e-05,3.711231e-04,7.625219e-05
20-Jan-2018 12:19:17,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,0,2.772247e-05,1.258387e-04,7.042370e-05,3.919377e-04,3.577338e-05
20-Jan-2018 12:19:21,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,1,2.772247e-05,1.258387e-04,7.042370e-05,3.919377e-04,3.577338e-05
20-Jan-2018 12:19:25,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,2.772247e-05,1.258387e-04,7.042370e-05,3.919377e-04,3.577338e-05
20-Jan-2018 12:19:29,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,2.484851e-05,1.205089e-04,7.042370e-05,3.919377e-04,3.421363e-05
20-Jan-2018 12:19:33,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,2.772247e-05,1.258387e-04,7.042370e-05,3.919377e-04,3.577338e-05
20-Jan-2018 12:19:37,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,4.141037e-05,1.471136e-04,7.042370e-05,4.530650e-04,4.039393e-05
20-Jan-2018 12:19:41,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,2.772247e-05,1.258387e-04,7.042370e-05,3.919377e-04,3.577338e-05
20-Jan-2018 12:19:45,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,3.542615e-05,1.401223e-04,7.042370e-05,4.530650e-04,3.784729e-05
20-Jan-2018 12:19:49,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,4.690849e-05,1.256676e-04,7.042370e-05,3.757996e-04,2.925875e-05
20-Jan-2018 12:19:53,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,1,9.714330e-05,1.733090e-04,7.042370e-05,4.656063e-04,4.266640e-05
20-Jan-2018 12:19:57,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,0,4.690849e-05,1.256676e-04,7.042370e-05,3.757996e-04,2.925875e-05
20-Jan-2018 12:20:01,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard STLN,2,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Batch,1,1.040969e-04,1.826935e-04,7.042370e-05,4.656063e-04,4.215871e-05
20-Jan-2018 12:20:33,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:20:37,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Separate,1,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:20:41,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:20:45,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Separate,Batch,1,2.484877e-05,1.205098e-04,7.042363e-05,3.919380e-04,3.421420e-05
20-Jan-2018 12:20:49,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:20:53,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Separate,1,4.141066e-05,1.471144e-04,7.042363e-05,4.530653e-04,4.039444e-05
20-Jan-2018 12:20:57,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,0,2.772277e-05,1.258396e-04,7.042363e-05,3.919380e-04,3.577394e-05
20-Jan-2018 12:21:01,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch,Batch,1,3.542644e-05,1.401232e-04,7.042363e-05,4.530653e-04,3.784782e-05
20-Jan-2018 12:21:05,9,Geometric Mean Matlab Method,0,1.000000e-12,1.000000e-06,Standard SNTLN,3,None,0,0,DTQ,ux and vx,My Method,Batch Constrained,Separate,0,4.690812e-05,1.256683e-04,7.042363e-05,3.757998e-04,2.925910e-05
